Date : 2020-09-24 16:58:49
Directory : c:\0-zlimbo\study
Total : 177 files,  14632 codes, 23 comments, 3217 blanks, all 17872 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| math\简明微积分                                                                                                        |          2 |        119 |          0 |         44 |        163 |
| mysql                                                                                                             |          4 |        447 |          0 |         84 |        531 |
| os                                                                                                                |          1 |         39 |          0 |         20 |         59 |
| python                                                                                                            |         38 |      4,671 |         21 |      1,184 |      5,876 |
| python\modules                                                                                                    |         17 |      2,223 |          0 |        528 |      2,751 |
| python\show-me-the-code                                                                                           |          4 |        185 |         21 |         96 |        302 |
| python\show-me-the-code\0                                                                                         |          1 |          9 |          1 |          2 |         12 |
| python\show-me-the-code\1                                                                                         |          1 |         18 |          1 |          9 |         28 |
| python\show-me-the-code\2                                                                                         |          1 |         35 |          9 |         13 |         57 |
| python\并发编程                                                                                                       |          5 |        287 |          0 |         81 |        368 |
| python\网络编程                                                                                                       |          2 |        144 |          0 |         36 |        180 |
| redis                                                                                                             |          1 |         30 |          0 |          1 |         31 |
| rust                                                                                                              |         11 |         26 |          1 |          4 |         31 |
| rust\hello                                                                                                        |          1 |          3 |          0 |          1 |          4 |
| rust\hellorust                                                                                                    |         10 |         23 |          1 |          3 |         27 |
| rust\hellorust\src                                                                                                |          1 |          9 |          0 |          0 |          9 |
| rust\hellorust\target                                                                                             |          8 |          8 |          0 |          0 |          8 |
| rust\hellorust\target\debug                                                                                       |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\debug\.fingerprint                                                                          |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\debug\.fingerprint\hellorust-07dd55e10091dbd5                                               |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\release                                                                                     |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\release\.fingerprint                                                                        |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\release\.fingerprint\hellorust-07dd55e10091dbd5                                             |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\rls                                                                                         |          5 |          5 |          0 |          0 |          5 |
| rust\hellorust\target\rls\debug                                                                                   |          4 |          4 |          0 |          0 |          4 |
| rust\hellorust\target\rls\debug\.fingerprint                                                                      |          2 |          2 |          0 |          0 |          2 |
| rust\hellorust\target\rls\debug\.fingerprint\hellorust-6c46357db675357d                                           |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\rls\debug\.fingerprint\hellorust-75057c655fe4ce86                                           |          1 |          1 |          0 |          0 |          1 |
| rust\hellorust\target\rls\debug\deps                                                                              |          2 |          2 |          0 |          0 |          2 |
| rust\hellorust\target\rls\debug\deps\save-analysis                                                                |          2 |          2 |          0 |          0 |          2 |
| web                                                                                                               |          1 |        104 |          0 |         67 |        171 |
| windows                                                                                                           |          1 |         13 |          0 |          1 |         14 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                          | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\0-zlimbo\study\README.md                                                                                       | Markdown |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\algorithm\FFT.md                                                                                | Markdown |         35 |          0 |          8 |         43 |
| c:\0-zlimbo\study\algorithm\KMP.md                                                                                | Markdown |        102 |          0 |         17 |        119 |
| c:\0-zlimbo\study\algorithm\cpp\BinarySearchTree.hpp                                                              | C++      |        138 |          0 |         25 |        163 |
| c:\0-zlimbo\study\algorithm\cpp\BinaryTree.hpp                                                                    | C++      |        144 |          1 |         37 |        182 |
| c:\0-zlimbo\study\algorithm\cpp\hpp.hpp                                                                           | C++      |          5 |          0 |          3 |          8 |
| c:\0-zlimbo\study\algorithm\cpp\main.cpp                                                                          | C++      |         38 |          0 |         11 |         49 |
| c:\0-zlimbo\study\algorithm\cpp\makefile                                                                          | Makefile |          2 |          0 |          1 |          3 |
| c:\0-zlimbo\study\algorithm\cpp\mytest.h                                                                          | C++      |          8 |          0 |          3 |         11 |
| c:\0-zlimbo\study\algorithm\cpp\t.hpp                                                                             | C++      |          9 |          0 |          3 |         12 |
| c:\0-zlimbo\study\algorithm\字符串哈希.md                                                                              | Markdown |         15 |          0 |          3 |         18 |
| c:\0-zlimbo\study\algorithm\快速幂计算x^n和x^n % mod.md                                                                 | Markdown |         26 |          0 |          2 |         28 |
| c:\0-zlimbo\study\algorithm\快速排序.md                                                                               | Markdown |         36 |          0 |          4 |         40 |
| c:\0-zlimbo\study\algorithm\曼德布洛特分形（Mandelbrot Fractal）.md                                                        | Markdown |          7 |          0 |          5 |         12 |
| c:\0-zlimbo\study\algorithm\最大堆.md                                                                                | Markdown |         71 |          0 |         15 |         86 |
| c:\0-zlimbo\study\algorithm\树状数组.md                                                                               | Markdown |         37 |          0 |         14 |         51 |
| c:\0-zlimbo\study\cpp\gcc编译命令.md                                                                                  | Markdown |         53 |          0 |         13 |         66 |
| c:\0-zlimbo\study\cpp\位运算.md                                                                                      | Markdown |         13 |          0 |         16 |         29 |
| c:\0-zlimbo\study\cpp\全局变量、局部变量、静态全局变量、静态局部变量的区别.md                                                               | Markdown |         24 |          0 |         18 |         42 |
| c:\0-zlimbo\study\cpp\右值.md                                                                                       | Markdown |          1 |          0 |          2 |          3 |
| c:\0-zlimbo\study\daily\从SSL到协程.md                                                                                | Markdown |          6 |          0 |          9 |         15 |
| c:\0-zlimbo\study\geometry\三角形相关计算.md                                                                             | Markdown |         13 |          0 |          6 |         19 |
| c:\0-zlimbo\study\git\git分支操作.md                                                                                  | Markdown |         20 |          0 |          8 |         28 |
| c:\0-zlimbo\study\js\Javascript入门.md                                                                              | Markdown |        161 |          0 |         57 |        218 |
| c:\0-zlimbo\study\leetcode\dfa\[medium]剑指 Offer 20. 表示数值的字符串.md                                                   | Markdown |        166 |          0 |         26 |        192 |
| c:\0-zlimbo\study\leetcode\dp\[easy]198. 打家劫舍.md                                                                  | Markdown |         54 |          0 |         11 |         65 |
| c:\0-zlimbo\study\leetcode\dp\[easy]392. 判断子序列.md                                                                 | Markdown |         75 |          0 |         16 |         91 |
| c:\0-zlimbo\study\leetcode\dp\[hard]1444. 切披萨的方案数.md                                                              | Markdown |        122 |          0 |         24 |        146 |
| c:\0-zlimbo\study\leetcode\dp\[hard]1458. 两个子序列的最大点积.md                                                           | Markdown |         55 |          0 |          9 |         64 |
| c:\0-zlimbo\study\leetcode\dp\[hard]1510. 石子游戏 IV.md                                                              | Markdown |         99 |          0 |         25 |        124 |
| c:\0-zlimbo\study\leetcode\dp\[hard]1526. 形成目标数组的子数组最少增加次数.md                                                     | Markdown |         72 |          0 |         11 |         83 |
| c:\0-zlimbo\study\leetcode\dp\[hard]174. 地下城游戏.md                                                                 | Markdown |         58 |          0 |         11 |         69 |
| c:\0-zlimbo\study\leetcode\dp\[hard]312. 戳气球.md                                                                   | Markdown |         42 |          0 |          8 |         50 |
| c:\0-zlimbo\study\leetcode\dp\[hard]32.最长有效括号.md                                                                  | Markdown |         51 |          0 |          9 |         60 |
| c:\0-zlimbo\study\leetcode\dp\[hard]44. 通配符匹配.md                                                                  | Markdown |        112 |          0 |         15 |        127 |
| c:\0-zlimbo\study\leetcode\dp\[hard]546. 移除盒子.md                                                                  | Markdown |         76 |          0 |         20 |         96 |
| c:\0-zlimbo\study\leetcode\dp\[hard]5478. 最大得分.md                                                                 | Markdown |         73 |          0 |         11 |         84 |
| c:\0-zlimbo\study\leetcode\dp\[hard]5490. 吃掉 N 个橘子的最少天数.md                                                        | Markdown |         72 |          0 |         13 |         85 |
| c:\0-zlimbo\study\leetcode\dp\[hard]97. 交错字符串.md                                                                  | Markdown |         87 |          0 |         20 |        107 |
| c:\0-zlimbo\study\leetcode\dp\[hard]LCP 13. 寻宝.md                                                                 | Markdown |        271 |          0 |         23 |        294 |
| c:\0-zlimbo\study\leetcode\dp\[medium]120. 三角形最小路径和.md                                                            | Markdown |         58 |          0 |         14 |         72 |
| c:\0-zlimbo\study\leetcode\dp\[medium]1524. 和为奇数的子数组数目.md                                                         | Markdown |         83 |          0 |         12 |         95 |
| c:\0-zlimbo\study\leetcode\dp\[medium]1525. 字符串的好分割数目.md                                                          | Markdown |         99 |          0 |         14 |        113 |
| c:\0-zlimbo\study\leetcode\dp\[medium]1546. 和为目标值的最大数目不重叠非空子数组数目.md                                               | Markdown |         77 |          0 |         11 |         88 |
| c:\0-zlimbo\study\leetcode\dp\[medium]309. 最佳买卖股票时机含冷冻期.md                                                        | Markdown |         74 |          0 |         18 |         92 |
| c:\0-zlimbo\study\leetcode\dp\[medium]337. 打家劫舍 III.md                                                            | Markdown |         86 |          0 |         18 |        104 |
| c:\0-zlimbo\study\leetcode\dp\[medium]5500. 乘积为正数的最长子数组长度.md                                                      | Markdown |         69 |          0 |          9 |         78 |
| c:\0-zlimbo\study\leetcode\dp\[medium]63. 不同路径 II.md                                                              | Markdown |         59 |          0 |         12 |         71 |
| c:\0-zlimbo\study\leetcode\dp\[medium]64. 最小路径和.md                                                                | Markdown |         72 |          0 |         17 |         89 |
| c:\0-zlimbo\study\leetcode\dp\[medium]718. 最长重复子数组.md                                                             | Markdown |         57 |          0 |         17 |         74 |
| c:\0-zlimbo\study\leetcode\graph\[easy]733. 图像渲染.md                                                               | Markdown |         80 |          0 |         16 |         96 |
| c:\0-zlimbo\study\leetcode\graph\[easy]93. 复原IP地址.md                                                              | Markdown |         56 |          0 |         13 |         69 |
| c:\0-zlimbo\study\leetcode\graph\[hard]1453. 圆形靶内的最大飞镖数量.md                                                       | Markdown |        111 |          0 |         12 |        123 |
| c:\0-zlimbo\study\leetcode\graph\[hard]329. 矩阵中的最长递增路径.md                                                         | Markdown |        126 |          0 |         23 |        149 |
| c:\0-zlimbo\study\leetcode\graph\[hard]51. N 皇后.md                                                                | Markdown |         76 |          0 |         13 |         89 |
| c:\0-zlimbo\study\leetcode\graph\[hard]5510. 保证图可完全遍历.md                                                          | Markdown |        126 |          0 |         27 |        153 |
| c:\0-zlimbo\study\leetcode\graph\[medium]130. 被围绕的区域.md                                                           | Markdown |        110 |          0 |         16 |        126 |
| c:\0-zlimbo\study\leetcode\graph\[medium]133. 克隆图.md                                                              | Markdown |        151 |          0 |         28 |        179 |
| c:\0-zlimbo\study\leetcode\graph\[medium]207. 课程表.md                                                              | Markdown |         77 |          0 |         17 |         94 |
| c:\0-zlimbo\study\leetcode\graph\[medium]211.概率最大的路径.md                                                           | Markdown |         91 |          0 |         13 |        104 |
| c:\0-zlimbo\study\leetcode\graph\[medium]332. 重新安排行程.md                                                           | Markdown |        131 |          0 |         22 |        153 |
| c:\0-zlimbo\study\leetcode\graph\[medium]491. 递增子序列.md                                                            | Markdown |         53 |          0 |         12 |         65 |
| c:\0-zlimbo\study\leetcode\graph\[medium]5501. 使陆地分离的最少天数.md                                                      | Markdown |        186 |          0 |         20 |        206 |
| c:\0-zlimbo\study\leetcode\graph\[medium]785. 判断二分图.md                                                            | Markdown |        155 |          0 |         27 |        182 |
| c:\0-zlimbo\study\leetcode\hash\[easy]350. 两个数组的交集 II.md                                                          | Markdown |         86 |          0 |         15 |        101 |
| c:\0-zlimbo\study\leetcode\hash\[hard]632. 最小区间.md                                                                | Markdown |        155 |          0 |         25 |        180 |
| c:\0-zlimbo\study\leetcode\hash\[hard]面试题 17.26. 稀疏相似度.md                                                         | Markdown |         65 |          0 |          8 |         73 |
| c:\0-zlimbo\study\leetcode\hash\[medium]5508. 数的平方等于两数乘积的方法数.md                                                   | Markdown |         67 |          0 |         10 |         77 |
| c:\0-zlimbo\study\leetcode\list\[easy]206. 反转链表.md                                                                | Markdown |         59 |          0 |         13 |         72 |
| c:\0-zlimbo\study\leetcode\math\[easy]1025. 除数博弈.md                                                               | Markdown |         64 |          0 |         16 |         80 |
| c:\0-zlimbo\study\leetcode\math\[easy]1523. 在区间范围内统计奇数数目.md                                                       | Markdown |         41 |          0 |         11 |         52 |
| c:\0-zlimbo\study\leetcode\math\[easy]面试题 16.11. 跳水板(easy).md                                                     | Markdown |         43 |          0 |          9 |         52 |
| c:\0-zlimbo\study\leetcode\math\[medium]1238. 循环码排列.md                                                            | Markdown |         92 |          0 |         22 |        114 |
| c:\0-zlimbo\study\leetcode\math\[medium]1442. 形成两个异或相等数组的三元组数目.md                                                 | Markdown |         90 |          0 |         14 |        104 |
| c:\0-zlimbo\study\leetcode\math\[medium]343. 整数拆分.md                                                              | Markdown |         64 |          0 |         14 |         78 |
| c:\0-zlimbo\study\leetcode\recursion\[medium]1545. 找出第 N 个二进制字符串中的第 K 位.md                                        | Markdown |        113 |          0 |         19 |        132 |
| c:\0-zlimbo\study\leetcode\search_sort\[easy]1237. 找出给定方程的正整数解.md                                                 | Markdown |        113 |          0 |         15 |        128 |
| c:\0-zlimbo\study\leetcode\search_sort\[easy]167. 两数之和 II - 输入有序数组.md                                             | Markdown |         92 |          0 |         17 |        109 |
| c:\0-zlimbo\study\leetcode\search_sort\[easy]35. 搜索插入位置.md                                                        | Markdown |         58 |          0 |         13 |         71 |
| c:\0-zlimbo\study\leetcode\search_sort\[easy]696. 计数二进制子串.md                                                      | Markdown |         68 |          0 |         12 |         80 |
| c:\0-zlimbo\study\leetcode\search_sort\[easy]剑指 Offer 11. 旋转数组的最小数字.md                                            | Markdown |         87 |          0 |         25 |        112 |
| c:\0-zlimbo\study\leetcode\search_sort\[easy]面试题 08.03. 魔术索引.md                                                   | Markdown |         56 |          0 |         11 |         67 |
| c:\0-zlimbo\study\leetcode\search_sort\[hard]410. 分割数组的最大值.md                                                     | Markdown |        166 |          0 |         28 |        194 |
| c:\0-zlimbo\study\leetcode\search_sort\[medium]215. 数组中的第K个最大元素.md                                                | Markdown |        126 |          0 |         26 |        152 |
| c:\0-zlimbo\study\leetcode\search_sort\[medium]347. 前 K 个高频元素.md                                                  | Markdown |        172 |          0 |         37 |        209 |
| c:\0-zlimbo\study\leetcode\search_sort\[medium]5477. 排布二进制网格的最少交换次数.md                                            | Markdown |         82 |          0 |          9 |         91 |
| c:\0-zlimbo\study\leetcode\search_sort\[medium]5489. 两球之间的磁力.md                                                   | Markdown |         57 |          0 |          7 |         64 |
| c:\0-zlimbo\study\leetcode\shell\[medium]192. 统计词频.md                                                             | Markdown |         46 |          0 |         11 |         57 |
| c:\0-zlimbo\study\leetcode\simulate\[easy]415. 字符串相加.md                                                           | Markdown |        100 |          0 |         19 |        119 |
| c:\0-zlimbo\study\leetcode\simulate\[medium]43. 字符串相乘.md                                                          | Markdown |         98 |          0 |         20 |        118 |
| c:\0-zlimbo\study\leetcode\sql\[easy]176. 第二高的薪水.md                                                               | Markdown |         32 |          0 |          8 |         40 |
| c:\0-zlimbo\study\leetcode\stack_queue\[easy]1544. 整理字符串.md                                                       | Markdown |         71 |          0 |         11 |         82 |
| c:\0-zlimbo\study\leetcode\stack_queue\[easy]剑指 Offer 09. 用两个栈实现队列.md                                             | Markdown |         50 |          0 |         25 |         75 |
| c:\0-zlimbo\study\leetcode\string\[easy]459. 重复的子字符串.md                                                           | Markdown |         97 |          0 |         17 |        114 |
| c:\0-zlimbo\study\leetcode\string\[hard]214. 最短回文串.md                                                             | Markdown |        161 |          0 |         34 |        195 |
| c:\0-zlimbo\study\leetcode\string\[hard]336. 回文对.md                                                               | Markdown |        261 |          0 |         49 |        310 |
| c:\0-zlimbo\study\leetcode\string\[medium]20. 有效的括号.md                                                            | Markdown |         55 |          0 |          7 |         62 |
| c:\0-zlimbo\study\leetcode\string\[medium]647. 回文子串.md                                                            | Markdown |         54 |          0 |          9 |         63 |
| c:\0-zlimbo\study\leetcode\string\[medium]面试题 17.13. 恢复空格.md                                                      | Markdown |        170 |          0 |         29 |        199 |
| c:\0-zlimbo\study\leetcode\tree\[easy]100. 相同的树.md                                                                | Markdown |         77 |          0 |         10 |         87 |
| c:\0-zlimbo\study\leetcode\tree\[easy]104. 二叉树的最大深度.md                                                            | Markdown |         53 |          0 |         12 |         65 |
| c:\0-zlimbo\study\leetcode\tree\[easy]108. 将有序数组转换为二叉搜索树.md                                                       | Markdown |         31 |          0 |          9 |         40 |
| c:\0-zlimbo\study\leetcode\tree\[easy]110. 平衡二叉树.md                                                               | Markdown |         61 |          0 |         10 |         71 |
| c:\0-zlimbo\study\leetcode\tree\[easy]112. 路径总和.md                                                                | Markdown |        142 |          0 |         25 |        167 |
| c:\0-zlimbo\study\leetcode\tree\[hard]5502. 将子数组重新排序得到同一个二叉查找树的方案数.md                                             | Markdown |         71 |          0 |         12 |         83 |
| c:\0-zlimbo\study\leetcode\tree\[hard]99. 恢复二叉搜索树.md                                                              | Markdown |        138 |          0 |         16 |        154 |
| c:\0-zlimbo\study\leetcode\tree\[medium]109. 有序链表转换二叉搜索树.md                                                       | Markdown |        128 |          0 |         21 |        149 |
| c:\0-zlimbo\study\leetcode\tree\[medium]114. 二叉树展开为链表.md                                                          | Markdown |        118 |          0 |         15 |        133 |
| c:\0-zlimbo\study\leetcode\tree\[medium]1457. 二叉树中的伪回文路径.md                                                       | Markdown |         67 |          0 |         10 |         77 |
| c:\0-zlimbo\study\leetcode\tree\[medium]95. 不同的二叉搜索树 II.md                                                        | Markdown |        130 |          0 |         18 |        148 |
| c:\0-zlimbo\study\leetcode\tree\[medium]96. 不同的二叉搜索树.md                                                           | Markdown |         51 |          0 |         17 |         68 |
| c:\0-zlimbo\study\linux\awk.md                                                                                    | Markdown |         79 |          0 |         41 |        120 |
| c:\0-zlimbo\study\linux\cut.md                                                                                    | Markdown |         20 |          0 |          8 |         28 |
| c:\0-zlimbo\study\linux\diff.md                                                                                   | Markdown |         19 |          0 |          9 |         28 |
| c:\0-zlimbo\study\linux\grep.md                                                                                   | Markdown |         28 |          0 |          8 |         36 |
| c:\0-zlimbo\study\linux\sort.md                                                                                   | Markdown |         25 |          0 |         12 |         37 |
| c:\0-zlimbo\study\linux\tee.md                                                                                    | Markdown |          9 |          0 |          5 |         14 |
| c:\0-zlimbo\study\linux\uniq.md                                                                                   | Markdown |         12 |          0 |          6 |         18 |
| c:\0-zlimbo\study\math\简明微积分\微积分的概念.md                                                                            | Markdown |         62 |          0 |         28 |         90 |
| c:\0-zlimbo\study\math\简明微积分\微积分的运算.md                                                                            | Markdown |         57 |          0 |         16 |         73 |
| c:\0-zlimbo\study\mysql\mysql函数.md                                                                                | Markdown |         10 |          0 |          8 |         18 |
| c:\0-zlimbo\study\mysql\mysql语句.md                                                                                | Markdown |        275 |          0 |         48 |        323 |
| c:\0-zlimbo\study\mysql\tips.md                                                                                   | Markdown |        112 |          0 |         23 |        135 |
| c:\0-zlimbo\study\mysql\安装mysql8.0并更改root密码.md                                                                    | Markdown |         50 |          0 |          5 |         55 |
| c:\0-zlimbo\study\os\1.Introduction.md                                                                            | Markdown |         39 |          0 |         20 |         59 |
| c:\0-zlimbo\study\python\IO编程.md                                                                                  | Markdown |        187 |          0 |         64 |        251 |
| c:\0-zlimbo\study\python\OOP.md                                                                                   | Markdown |        490 |          0 |         25 |        515 |
| c:\0-zlimbo\study\python\__方法__.md                                                                                | Markdown |         15 |          0 |          8 |         23 |
| c:\0-zlimbo\study\python\modules\PIL.md                                                                           | Markdown |        110 |          0 |         24 |        134 |
| c:\0-zlimbo\study\python\modules\base64.md                                                                        | Markdown |         18 |          0 |          1 |         19 |
| c:\0-zlimbo\study\python\modules\builtins.md                                                                      | Markdown |         74 |          0 |         20 |         94 |
| c:\0-zlimbo\study\python\modules\collections.md                                                                   | Markdown |        146 |          0 |         59 |        205 |
| c:\0-zlimbo\study\python\modules\contextlib.md                                                                    | Markdown |         76 |          0 |         25 |        101 |
| c:\0-zlimbo\study\python\modules\functools.md                                                                     | Markdown |         69 |          0 |          9 |         78 |
| c:\0-zlimbo\study\python\modules\hashlib.md                                                                       | Markdown |        143 |          0 |         35 |        178 |
| c:\0-zlimbo\study\python\modules\hmac.md                                                                          | Markdown |        119 |          0 |         23 |        142 |
| c:\0-zlimbo\study\python\modules\html.parser.md                                                                   | Markdown |        129 |          0 |         59 |        188 |
| c:\0-zlimbo\study\python\modules\itertools.md                                                                     | Markdown |        484 |          0 |         64 |        548 |
| c:\0-zlimbo\study\python\modules\os.md                                                                            | Markdown |         55 |          0 |          3 |         58 |
| c:\0-zlimbo\study\python\modules\psutil.md                                                                        | Markdown |        304 |          0 |         40 |        344 |
| c:\0-zlimbo\study\python\modules\pymysql.md                                                                       | Markdown |         17 |          0 |          5 |         22 |
| c:\0-zlimbo\study\python\modules\re.md                                                                            | Markdown |        123 |          0 |         50 |        173 |
| c:\0-zlimbo\study\python\modules\struct.md                                                                        | Markdown |        151 |          0 |         63 |        214 |
| c:\0-zlimbo\study\python\modules\time.md                                                                          | Markdown |        143 |          0 |         42 |        185 |
| c:\0-zlimbo\study\python\modules\types.md                                                                         | Markdown |         62 |          0 |          6 |         68 |
| c:\0-zlimbo\study\python\show-me-the-code\0\0.py                                                                  | Python   |          9 |          1 |          2 |         12 |
| c:\0-zlimbo\study\python\show-me-the-code\1\1.py                                                                  | Python   |         18 |          1 |          9 |         28 |
| c:\0-zlimbo\study\python\show-me-the-code\2\2.py                                                                  | Python   |         35 |          9 |         13 |         57 |
| c:\0-zlimbo\study\python\show-me-the-code\README.md                                                               | Markdown |        123 |         10 |         72 |        205 |
| c:\0-zlimbo\study\python\并发编程\GIL锁.md                                                                             | Markdown |          2 |          0 |          1 |          3 |
| c:\0-zlimbo\study\python\并发编程\分布式进程.md                                                                            | Markdown |         91 |          0 |         21 |        112 |
| c:\0-zlimbo\study\python\并发编程\多任务：进程or线程.md                                                                       | Markdown |         27 |          0 |          8 |         35 |
| c:\0-zlimbo\study\python\并发编程\线程.md                                                                               | Markdown |         72 |          0 |         21 |         93 |
| c:\0-zlimbo\study\python\并发编程\进程.md                                                                               | Markdown |         95 |          0 |         30 |        125 |
| c:\0-zlimbo\study\python\序列化.md                                                                                   | Markdown |        158 |          0 |         38 |        196 |
| c:\0-zlimbo\study\python\异常（exception）.md                                                                         | Markdown |         83 |          0 |          7 |         90 |
| c:\0-zlimbo\study\python\正则.md                                                                                    | Markdown |        127 |          0 |         63 |        190 |
| c:\0-zlimbo\study\python\正则表达式例子.md                                                                               | Markdown |        242 |          0 |         67 |        309 |
| c:\0-zlimbo\study\python\生成器和迭代器.md                                                                               | Markdown |         67 |          0 |         29 |         96 |
| c:\0-zlimbo\study\python\网络编程\TCPIP.md                                                                            | Markdown |         31 |          0 |         14 |         45 |
| c:\0-zlimbo\study\python\网络编程\socket套接字.md                                                                        | Markdown |        113 |          0 |         22 |        135 |
| c:\0-zlimbo\study\python\装饰器(Decorator).md                                                                        | Markdown |         91 |          0 |         38 |        129 |
| c:\0-zlimbo\study\python\错误、调试和测试.md                                                                              | Markdown |        372 |          0 |        104 |        476 |
| c:\0-zlimbo\study\redis\redis学习.md                                                                                | Markdown |         30 |          0 |          1 |         31 |
| c:\0-zlimbo\study\rust\hello\main.rs                                                                              | Rust     |          3 |          0 |          1 |          4 |
| c:\0-zlimbo\study\rust\hellorust\Cargo.toml                                                                       | TOML     |          6 |          1 |          3 |         10 |
| c:\0-zlimbo\study\rust\hellorust\src\main.rs                                                                      | Rust     |          9 |          0 |          0 |          9 |
| c:\0-zlimbo\study\rust\hellorust\target\.rustc_info.json                                                          | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\debug\.fingerprint\hellorust-07dd55e10091dbd5\bin-hellorust.json          | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\release\.fingerprint\hellorust-07dd55e10091dbd5\bin-hellorust.json        | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\rls\.rustc_info.json                                                      | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\rls\debug\.fingerprint\hellorust-6c46357db675357d\test-bin-hellorust.json | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\rls\debug\.fingerprint\hellorust-75057c655fe4ce86\bin-hellorust.json      | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\rls\debug\deps\save-analysis\hellorust-6c46357db675357d.json              | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\rust\hellorust\target\rls\debug\deps\save-analysis\hellorust-75057c655fe4ce86.json              | JSON     |          1 |          0 |          0 |          1 |
| c:\0-zlimbo\study\web\Hexo博客搭建.md                                                                                 | Markdown |        104 |          0 |         67 |        171 |
| c:\0-zlimbo\study\windows\使用set命令定义变量.md                                                                          | Markdown |         13 |          0 |          1 |         14 |
| Total                                                                                                             |          |     14,632 |         23 |      3,217 |     17,872 |
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
